"fromuserid","touserid","numbercalls","secondscalls"
"350197","350201","9","3269"
"350179","350385","14","1493"
"350175","350386","19","2840"
"350106","350103","7","3229"
"350008","350303","13","1024"
"350040","350020","12","2634"
"350131","350175","19","1365"
"491615","350097","8","3407"
"350183","350204","4","2830"
"350145","350020","15","827"
"350099","350243","7","2641"
"350095","350094","12","3478"
"350085","350088","11","1842"
"350013","350010","16","3478"
"350117","350113","9","2119"
"350004","350369","6","2775"
"350050","350045","4","730"
"350035","350382","19","1097"
"350193","350094","1","839"
"350075","350067","4","1112"
"350185","350184","2","569"
"350125","350130","26","2086"
"350068","350026","5","1623"
"576832","350321","19","2814"
"350173","350071","4","2969"
"350014","350017","3","508"
"350141","350158","10","916"
"350136","350232","4","3486"
"350156","350009","19","34"
"350148","350145","1","416"
"350057","350059","25","3834"
"350112","350394","14","3098"
"350169","350114","17","1313"
"350182","350002","12","715"
"350015","350004","4","1023"
"350190","350053","10","525"
"350115","350117","8","502"
"350114","350007","5","432"
"388018","350184","25","3124"
"350077","350374","17","1604"
"350126","350022","19","2379"
"350071","350156","18","1125"
"350020","350028","16","463"
"350176","350174","3","3318"
"350044","350006","9","380"
"350165","350234","17","3464"
"350174","350013","29","6441"
"350032","350007","19","2621"
"350130","350360","3","549"
"350055","350044","5","2242"
"350060","350293","16","1066"
"350103","350044","9","1510"
"350111","350110","11","1825"
"350133","350004","7","2531"
"350054","576832","19","3062"
"350058","350055","5","3100"
"350009","350195","13","449"
"350053","350004","6","815"
"350041","350043","10","1554"
"350192","350152","9","2655"
"350062","350058","3","2847"
"350113","350144","11","976"
"489312","350134","34","6229"
"350042","350011","13","3469"
"350150","350087","12","1988"
"350026","350069","18","3145"
"350091","350014","1","1777"
"350195","350007","12","2902"
"350189","350005","16","1899"
"350043","350046","18","3306"
"350080","350085","9","1736"
"350092","350006","6","330"
"350002","350001","19","3178"
"350010","350018","7","1586"
"350039","350032","12","2729"
"350052","350202","17","1012"
"350105","350138","34","2519"
"350016","350013","17","1079"
"350134","350263","1","240"
"350059","350049","3","2907"
"350119","350116","1","1065"
"350188","350044","9","115"
"350031","350099","9","2924"
"350088","350067","9","338"
"350142","350365","1","52"
"350021","350016","17","2911"
"350076","350008","7","2902"
"350046","350008","18","1762"
"350184","350188","20","287"
"464386","350103","9","263"
"350147","350330","14","238"
"350094","350098","17","758"
"350028","350326","10","1792"
"350161","350158","3","1602"
"350168","350172","8","3530"
"350087","350307","14","682"
"350102","350373","14","3086"
"350146","350001","26","4439"
"350187","350080","19","2667"
"350036","350001","16","553"
"350194","350186","7","1181"
"433648","350051","16","2717"
"350038","350201","11","1356"
"350037","350032","3","2334"
"350023","350227","8","919"
"350022","350007","10","1097"
"350061","350049","12","1776"
"350160","350026","5","127"
"350149","350145","5","1631"
"350025","350015","5","297"
"350084","350096","15","1394"
"350118","350247","10","2748"
"350086","350088","10","2645"
"350017","350009","18","6415"
"350110","350002","1","1924"
"350158","350147","1","3588"
"350104","350071","4","834"
"350143","350041","14","1281"
"350005","350050","19","2405"
"350108","350118","9","2779"
"350116","350159","15","1354"
"350138","350370","12","1222"
"350030","350345","20","314"
"350072","350004","16","1356"
"350166","350253","7","2960"
"350135","350132","20","2530"
"350167","350153","18","3229"
"350109","350114","20","2522"
"350006","350011","19","3075"
"350171","350026","1","48"
"350019","350174","1","2865"
"350063","350373","16","2737"
"350098","350147","19","284"
"350011","350187","9","1701"
"350120","350002","20","2079"
"350069","350072","16","1823"
"350186","350061","8","862"
"350122","350097","1","1610"
"350177","350005","8","975"
"350082","350021","11","2068"
"350172","350179","6","3033"
"350139","350009","10","3569"
"357758","350012","3","473"
"350074","350027","2","589"
"350129","350118","19","2209"
"350067","350157","1","1392"
"350107","350111","20","3334"
"350128","350122","5","3454"
"350089","350049","17","1788"
"350170","350014","9","264"
"350164","350169","7","458"
"350155","350271","5","1149"
"350027","350030","5","1148"
"350198","350166","2","1891"
"350140","350139","2","716"
"350197","350209","16","2969"
"350179","350189","18","138"
"350175","350009","6","4426"
"350106","350111","18","2436"
"350008","350011","2","2633"
"350040","350022","11","3453"
"350131","350133","12","3160"
"491615","350374","8","1446"
"350183","350181","13","3127"
"350145","350024","13","1625"
"350099","350089","9","1342"
"350095","491615","9","1068"
"350085","350238","16","2752"
"350013","350233","20","1185"
"350117","350294","6","3598"
"350004","350077","2","3341"
"350050","350345","5","1655"
"350035","350071","9","2666"
"350193","350344","15","319"
"350075","350163","19","2846"
"350185","350038","7","2164"
"350125","350161","5","2631"
"350068","350218","18","890"
"576832","350052","6","590"
"350173","350167","5","2825"
"350014","350125","6","1108"
"350141","350135","6","1170"
"350136","350132","5","2612"
"350156","350013","19","2519"
"350148","350007","14","2282"
"350057","350186","17","2235"
"350112","350306","21","4062"
"350169","350168","7","207"
"350182","350025","14","607"
"350015","350005","19","256"
"350190","350135","8","3"
"350115","350213","10","74"
"350114","350012","8","2747"
"388018","350180","12","1699"
"350077","350378","14","2012"
"350126","350043","18","1224"
"350071","350068","14","4453"
"350020","350032","13","3560"
"350176","350167","6","2823"
"350044","350011","7","2661"
"350165","350157","13","2218"
"350174","350086","6","2889"
"350032","350014","14","2591"
"350130","350379","7","3221"
"350055","350021","6","3417"
"350060","350174","10","1476"
"350103","350053","4","955"
"350111","350095","17","1102"
"350133","350042","19","2768"
"350054","350375","34","3985"
"350058","350032","10","1740"
"350009","350249","7","2903"
"350053","350026","4","1502"
"350041","350039","9","316"
"350192","350321","11","2658"
"350062","350016","3","2717"
"350113","350367","17","3267"
"489312","350057","20","4098"
"350042","350018","18","725"
"350150","350141","10","3246"
