"NODE_SRC","NODE_TRG","nrel","ra","rb","rc","rd","re"
"2564711","3142363","1","0","1","0","0","0"
"5662348","6014218","1","0","1","0","0","0"
"1782227","6014218","1","0","1","0","0","0"
"5317949","4808898","1","0","1","0","0","0"
"4141987","6014218","1","0","1","0","0","0"
"5694827","6014218","1","0","1","0","0","0"
"2902645","5322381","1","0","1","0","0","0"
"5974935","6014218","1","0","1","0","0","0"
"5756865","6014218","1","0","1","0","0","0"
"3943409","5770584","1","0","1","0","0","0"
"6257792","6014218","1","0","1","0","0","0"
"4376962","2340385","1","0","1","0","0","0"
"4781559","6014218","1","0","1","0","0","0"
"6033257","5322381","1","0","1","0","0","0"
"3910436","5322381","1","0","1","0","0","0"
"2257405","2340385","1","0","1","0","0","0"
"5724197","6014218","1","0","1","0","0","0"
"3215968","5322381","1","0","1","0","0","0"
"5476965","5322381","1","0","1","0","0","0"
"5788431","5322381","1","0","1","0","0","0"
"5049326","6014218","1","0","1","0","0","0"
"4257588","3142363","1","0","1","0","0","0"
"3771282","5322381","1","0","1","0","0","0"
"4252122","4808898","1","0","1","0","0","0"
"4574356","5322381","1","0","1","0","0","0"
"3904287","6014218","1","0","1","0","0","0"
"4308772","2340385","1","0","1","0","0","0"
"5855885","5770584","1","0","1","0","0","0"
"4114619","6014218","1","0","1","0","0","0"
"5014555","6014218","1","0","1","0","0","0"
"5655578","6014218","1","0","1","0","0","0"
"4760534","5322381","1","0","1","0","0","0"
"4008215","6014218","1","0","1","0","0","0"
"3320557","6014218","1","0","1","0","0","0"
"5678050","5322381","1","0","1","0","0","0"
"5438078","4808898","1","0","1","0","0","0"
"5295864","3678648","1","0","1","0","0","0"
"1612018","6014218","1","0","1","0","0","0"
"5730172","1641280","1","0","1","0","0","0"
"3102916","3477924","1","0","0","0","1","0"
"5408386","6014218","1","0","1","0","0","0"
"3900749","5322381","1","0","1","0","0","0"
"5492463","6014218","1","0","1","0","0","0"
"4553455","6014218","1","0","1","0","0","0"
"6359054","5322381","1","0","1","0","0","0"
"5084865","6014218","1","0","1","0","0","0"
"2375658","6014218","1","0","1","0","0","0"
"2077171","6014218","1","0","1","0","0","0"
"5428002","5322381","1","0","1","0","0","0"
"5417890","5322381","1","0","1","0","0","0"
"4281957","6014218","1","0","1","0","0","0"
"5766796","6014218","1","0","1","0","0","0"
"1923139","6014218","1","0","1","0","0","0"
"4073429","5770584","1","0","1","0","0","0"
"2645360","5322381","1","0","1","0","0","0"
"1841687","6014218","1","0","1","0","0","0"
"4718810","5322381","1","0","1","0","0","0"
"5879377","6014218","1","0","1","0","0","0"
"3777522","6014218","1","0","1","0","0","0"
"5903279","5322381","1","0","1","0","0","0"
"3144432","6014218","1","0","1","0","0","0"
"2798342","5770584","1","0","1","0","0","0"
"2698279","2340385","1","0","1","0","0","0"
"2787616","6014218","1","0","1","0","0","0"
"2538018","5770584","1","0","1","0","0","0"
"3220883","6014218","1","0","1","0","0","0"
"6214800","6014218","1","0","1","0","0","0"
"4179549","2340385","1","0","1","0","0","0"
"1950829","6014218","1","0","1","0","0","0"
"4770833","6014218","1","0","1","0","0","0"
"5396764","6014218","1","0","1","0","0","0"
"3679129","3017256","1","0","0","0","1","0"
"3224431","2340385","1","0","1","0","0","0"
"1803542","5770584","1","0","1","0","0","0"
"4346151","6014218","1","0","1","0","0","0"
"5637571","6014218","1","0","1","0","0","0"
"2462690","2340385","1","0","1","0","0","0"
"4303245","3678648","1","0","1","0","0","0"
"5571949","2340385","1","0","1","0","0","0"
"4032523","6014218","1","0","1","0","0","0"
"3513242","2340385","1","0","1","0","0","0"
"6303674","6014218","1","0","1","0","0","0"
"5505942","3142363","1","0","1","0","0","0"
"4641467","2340385","1","0","1","0","0","0"
"3012845","5546367","1","0","1","0","0","0"
"2464892","5322381","1","0","1","0","0","0"
"2854950","3142363","1","0","1","0","0","0"
"3421171","6014218","1","0","1","0","0","0"
"2850075","6014218","1","0","1","0","0","0"
